source	syllabary	pronunciation	definition
ced	ᎠᏥᎳ ᎪᏢᏗ	ạ²ji²³la go³hlvh²di	match
ced	ᎠᏥᎸᎯ	ạ²ji²lv⁴hi	in the fire
ced	ᎠᏥᎸᏍᎦ	a¹ji²lv²sga	it's blooming
ced	ᎠᏥᎸᏍᎩ	ạ²ji²lv⁴sgi	flower
ced	ᎠᏥᎾ	ạ²jị²na	cedar
ced	ᎠᏥᏍᎸᏍᎦ	a¹ji³slṿ²sga	light a fire, match
ced	ᎠᏦᏔᏍᎦ	a¹jo³tạ²sga	he's blowing, he's blowing on it
ced	ᎠᏨᏍᏛᏍᎦ	a¹jv²stṿ³sga	he's turning on a light
ced	ᎠᏨᏍᏗ	ạ²jvy⁴sdi	lamp, light
ced	ᎠᎩ-	ak-	(see agi-)
ced	ᎠᎧᏁᏍᏗ	ạ²kạ²ne²³sdi	1.badge 2.pin
ced	ᎠᎧᏍᎨᏂ	a²kạ²sge⁴ni	his hip
ced	ᎠᎨᎮᎦ	a¹ke²³he³²ga	he's chasing him, it
ced	ᎠᎩᏠᏒᏍᏗᎢ	ạ²kị²hlọ³sv¹sdi⁴ɂi	steps, stairs
ced	ᎠᎩᎸᏗᎭ	a¹kị²lv³²dị²ha	he's riding it (anything that can be straddled)
ced	ᎠᎩᏍᏗ	ạ³kị²sdi	pill
ced	ᎠᎩᏍᎦ	a¹kị²sga	he's swallowing it
ced	ᎠᎩᏳᏍᎨ	ạ²kị²yu²sge	elbow
ced	ᎠᎩᏳᏍᎨᏂ	ạ²kị²yu²sge⁴ni	his elbow
ced	ᎠᎪᏕᎠ	a¹ko²³dẹ³ɂa	he's shoveling it
ced	ᎠᎪᏕᏍᏗ	ạ²ko²³de⁴sdi	shovel, spade
ced	ᎠᎦᏍᎦᏂ	ạ²ksgạ²ni	left
ced	ᎠᎦᏍᎦᏂᏓ	ạ²ksgạ³ni⁴da	lefthanded
ced	ᎠᎦᏐᏍᎦ	a¹ksọ³sga	he's going down hill
ced	ᎠᎦᏐᏍᎬᎢ	a¹kso²sgv⁴ɂi	downhill route
ced	ᎠᎦᏔ	ạ²kta	eye
ced	ᎠᎦᏔᎭ	a¹ktạ²ha	he knows how
ced	ᎠᎦᏔᎯ	ạ³ktạ²hi	witness
ced	ᎠᎦᏔᎿᎢ	ạ³ktạ²hnạ²ɂi	knowledgeable
ced	ᎠᎦᏔᎲᎠ	a¹ktạ²hv³ɂa	1. he's turning back 2. he's turning (his head or body)
ced	ᎠᎦᏔᏍᏗᎭ	a¹kta³²sdị²ha	he's winking
ced	ᎠᎦᏖᎷᎲᏍᎦ	a¹kte²lu²hṿ³sga	he's hitting him on the eye
ced	ᎠᎦᏖᎾᏍᏗᎢ	ạ²kte²³na³²sdi⁴ɂi	scenery
ced	ᎠᎦᏖᏃᎭ	a¹kte³nọ²ha	he's looking around
ced	ᎠᎦᏘᎭ	a¹ktị²ha	he's peeking through
ced	ᎠᎦᏘᏏ	ạ²kti²si	1.n.right position, right hand,  2. adj. right-handed.
ced	ᎠᎦᏘᏯ	a¹kti²³ya	he's waiting for him/it
ced	ᎠᎦᏘᏱ	ạ²kti⁴yi	guard
ced	ᎠᎦᏙᏗ	ạktoh²di	telescope
ced	ᎠᎦᏙᎲᏍᎦ	a¹kto³²hṿ²sga	he's becoming wise
ced	ᎠᎦᏙᎵ	ạ²kto⁴li	his eye
ced	ᎠᎦᏙᏍᏗ	a¹kto²³sdi	he's looking at him/it
ced	ᎠᎦᏙᎥᎯᏍᏗ	ạ²ktọ²ɂṿ²hị³sdi	wisdom
ced	ᎠᎦᏛᎴᏍᎦ	a¹ktv³le²sga	he/it is going through it
ced	ᎠᎫᎩᎠ	a¹ku²³gị³ɂa	he's dipping liquid
ced	ᎠᎫᎩᏍᏗ	ạ²ku²³gi⁴sdi	dipper
ced	ᎠᏈᏱᎭ	a¹kwị²yị³ha	he's paying
ced	ᎠᏈᏴᎡᎭ	a¹kwị²yv³ɂe²ha	he's paying him
ced	ᎠᏈᏍᏙ	ạ²kwsdo	pillow
ced	ᎠᎳᏍᏓᎡᎭ	a¹la³²sdạ²ɂe²ha	he's tromping on him/it,   he's speaking badly of him
ced	ᎠᎳᏍᏛᏍᎦ	a¹la³²sdṿ²sga	he's stepping on him/it
ced	ᎠᎳᏍᎦᎵᎭ	a¹la³²sgạ²lị³ha	he's playing ball
ced	ᎠᎳᏍᎦᎵᏍᎩ	ạ²la¹sgạ²li⁴sgi	ball player
ced	ᎠᎳᏍᎬᎠ	a¹la³²sgṿ²ɂa	he's taking a step
ced	ᎠᎳᏑᏟᏗ	ạ²la¹suhl²³di	law suit
ced	ᎠᎳᏑᎶ	ạ²la¹su²³lo	shoe
ced	ᎠᎴ	ạ²le	almost
ced	ᎠᎴ	ạ²le	and, or
ced	ᎠᎴᏗᎭ	a¹leh²dị³ha	he's placing a long object in an upright position.
ced	ᎠᎴᎲᏍᎦ	a¹le²hṿ³sga	he's standing in a certain spot.
ced	ᎠᎴᏫᏍᏗᎭ	a¹le²hwị²sdị³ha	he/it is stopping
ced	ᎠᎴᏫᏍᏙᏗᎭ	a¹le²hwị²sdoh³dị³ha	he's stopping him/it
ced	ᎠᎴᏂᎭ	a¹le²nị³ha	he's starting/beginning.
ced	ᎠᎵᏟᎭ	a¹lị²dlị³ha	it's boiling
ced	ᎠᎵ	a²li	sweat
ced	ᎠᎵᎬᏓᏃᏍᏙᏗ	ạ²lị²gv²dạ²no²³sdoh²di	headband
