ᎠᎦ	ạ²ga²	a2ga2
ᎡᏙᎵᎩ	e¹do²li¹gi	ee1doo2lii1gi
ᎡᏣᏚᎳ	e¹jạ²du²³la	ee1ja2duu23la
ᎡᏣᏚᎳ	e¹jạ²du²³la²	ee1ja2duu23la2
ᎡᏦᎵᎦ	e¹jo²li¹ga	ee1joo2lii1ga
ᎡᏦᎵᎦ	e¹jo²li¹ga²	ee1joo2lii1ga2
ᎡᏦᎵᎦ	e¹johl²ga	ee1johl2ga
ᎡᏦᎵᎦ	e¹johl²ga²	ee1johl2ga2
ᎡᏦᎵᎩ	e¹jo²li¹gi	ee1joo2lii1gi
ᎡᏦᎵᎩ	e¹johl²gi	ee1johl2gi
ᎢᎦᏘᏗ	i¹gạt²di	ii1gat2di
ᎢᎦᏚᎳ	i¹gạ²du²³la	ii1ga2duu23la
ᎢᎦᏚᎳ	i¹gạ²du²³la²	ii1ga2duu23la2
ᎢᎩᎬᎢ	i¹gi²gv²³ɂi	ii1gii2gvv23-i
ᎢᎩᎰᎢ	i¹gi²ho³ɂi	ii1gii2hoo3-i
ᎢᎩᎲᎢ	i¹gi²hv²³ɂi	ii1gii2hvv23-i
ᎢᎩᏙᏓ	i¹gi²do²da	ii1gii2doo2da
ᎢᎪᎵᎦ	i¹gohl²ga	ii1gohl2ga
ᎢᎪᎵᎦ	i¹gohl²ga²	ii1gohl2ga2
ᎢᎾᏗᎭ	i¹nạ²dị²ha	ii1na2di2ha
ᎢᏁᎪᎢ	i¹ne³gọ³ɂi	ii1nee3go3-i
ᎢᏂᎩᎠ	i¹ni²gị³ɂa	ii1nii2gi3-a
ᎢᏂᎴᎦ	i¹niɂ³le¹ga	ii1ni-3lee1ga
ᎢᏂᎷᎦ	i¹niɂ²lu¹ga	ii1ni-2luu1ga
ᎢᏂᎷᎦ	i¹niɂ²lu¹ga²	ii1ni-2luu1ga2
ᎢᏃᎵᎦ	i¹nohl²ga	ii1nohl2ga
ᎢᏃᎵᎦ	i¹nohl²ga²	ii1nohl2ga2
ᎢᏃᎵᎩ	i¹nohl²gi	ii1nohl2gi
ᎢᏍᎩᏥ	i¹sgi²ji	ii1sgii2ji
ᎢᏓᏗᎭ	i¹dạ²dị²ha	ii1da2di2ha
ᎢᏕᎪᎢ	i¹de³gọ³ɂi	ii1dee3go3-i
ᎢᏗᎩᎠ	i¹di²gị³ɂa	ii1dii2gi3-a
ᎢᏗᎴᎦ	i¹diɂ³le¹ga	ii1di-3lee1ga
ᎢᏗᎷᎦ	i¹diɂ²lu¹ga	ii1di-2luu1ga
ᎢᏗᎷᎦ	i¹diɂ²lu¹ga²	ii1di-2luu1ga2
ᎢᏙᎵᎦ	i¹dohl²ga	ii1dohl2ga
ᎢᏙᎵᎦ	i¹dohl²ga²	ii1dohl2ga2
ᎢᏙᎵᎩ	i¹dohl²gi	ii1dohl2gi
