ᎤᎭ|ù:ha||u¹ha|He has something solid|uu1ha
ᏣᏲᏏᏌ|jayò:sǐ:sa||jạ²yo¹si²³sa|Let you be hungry|ja2yoo1sii23sa
ᏕᎩᏂᎧᎲᎢ|de:gini:kahv̌:ɂi||de²gị²ni²kạ²hv²³ɂi|You and I had living things a while ago|dee2gi2nii2ka2hvv23-i
ᏙᎩᏂᎧᎲᎢ|dò:gini:kahv̌:ɂi||do¹gị²ni²kạ²hv²³ɂi|He and I had living things a while ago|doo1gi2nii2ka2hvv23-i
ᎡᎦᎦᏙᏍᏙᏗ|è:gagà:tǒ:sdóhdi||e¹gạ²ga¹to²³sdoh³di|For all of us to be looked at|ee1ga2gaa1too23sdoh3di
ᏕᎦᏚᎩᎠ|de:gàtǔ:gía||de²gạ¹tu²³gị³a|He is drinking alcoholic drinks|dee2ga1tuu23gi3a
ᎡᎾᎦᏙᏍᏙᏗ|è:nagà:tǒ:sdóhdi||e¹nạ²ga¹to²³sdoh³di|For you and me to look at him|ee1na2gaa1too23sdoh3di
ᎡᏓᎦᏙᏍᏙᏗ|è:dagà:tǒ:sdóhdi||e¹dạ²ga¹to²³sdoh³di|For all of us to look at him|ee1da2gaa1too23sdoh3di
ᎡᏣᎦᏙᏍᏙᏗ|è:jagà:tǒ:sdóhdi||e¹jạ²ga¹to²³sdoh³di|For you all to look at him; For you all to be looked at|ee1ja2gaa1too23sdoh3di
ᏗᏍᏗᎭᏗᏔ|disda:dǐ:ta||dị²sda²di²³ta|Let you both drink drinks|di2sdaa2dii23ta
ᎨᎾᎦᏙᏍᏙᏗ|ge:nagà:tǒ:sdóhdi||ge²nạ²ga¹to²³sdoh³di|For you and me to look at them (animate)|gee2na2gaa1too23sdoh3di
ᎨᏓᎦᏙᏍᏙᏗ|ge:dagà:tǒ:sdóhdi||ge²dạ²ga¹to²³sdoh³di|For all of us to look at them (animate)|gee2da2gaa1too23sdoh3di
ᎤᏂᎮᏍᏗ|ù:ni:hé:sdi||u¹ni²he³sdi|They will be having something solid|uu1nii2hee3sdi
